Complexity metrics,Fri, 24 Nov 2023 19:09:06 GMT
Method,CogC,ev(G),iv(G),v(G)
com.example.feelgoodinc.services.CalendarService.bindToJournalService(),0,1,1,1
com.example.feelgoodinc.services.CalendarService.bindToMoodService(),0,1,1,1
"com.example.feelgoodinc.services.CalendarService.findJournal(List<Journal>, Date)",3,3,2,3
"com.example.feelgoodinc.services.CalendarService.populateCalendarMonth(CompactCalendarView, Date)",76,1,14,15
com.example.feelgoodinc.services.CalendarService.unBindServices(),0,1,1,1
com.example.feelgoodinc.services.JournalService.LocalBinder.getService(),0,1,1,1
"com.example.feelgoodinc.services.JournalService.addNewJournal(Journal, Activity)",0,1,1,1
"com.example.feelgoodinc.services.JournalService.getJournalsForMonth(Date, OnJournalsFetchedListener)",11,1,5,5
com.example.feelgoodinc.services.JournalService.onBind(Intent),0,1,1,1
com.example.feelgoodinc.services.JournalService.onCreate(),0,1,1,1
com.example.feelgoodinc.services.MoodService.LocalBinder.getService(),0,1,1,1
com.example.feelgoodinc.services.MoodService.MoodService(),0,1,1,1
"com.example.feelgoodinc.services.MoodService.addNewMood(Mood, Activity)",0,1,1,1
"com.example.feelgoodinc.services.MoodService.getMoodsForMonth(Date, OnMoodsFetchedListener)",11,1,5,5
com.example.feelgoodinc.services.MoodService.onBind(Intent),0,1,1,1
com.example.feelgoodinc.services.UserService.LocalBinder.getService(),0,1,1,1
"com.example.feelgoodinc.services.UserService.assignNewPassword(String, String, UserCallback)",5,1,3,3
"com.example.feelgoodinc.services.UserService.changePassword(String, FirebaseUser, UserCallback)",3,1,2,2
com.example.feelgoodinc.services.UserService.getCurrentUser(),1,1,2,2
com.example.feelgoodinc.services.UserService.getCurrentUserKey(),1,2,2,2
"com.example.feelgoodinc.services.UserService.loginUser(String, String, UserCallback)",3,1,2,2
com.example.feelgoodinc.services.UserService.mapUser(FirebaseUser),1,1,2,2
com.example.feelgoodinc.services.UserService.onBind(Intent),0,1,1,1
com.example.feelgoodinc.services.UserService.onCreate(),0,1,1,1
"com.example.feelgoodinc.services.UserService.registerUser(String, String, UserCallback)",3,1,2,2
onDayClick(Date),2,n/a,n/a,n/a
onError(Exception),0,n/a,n/a,n/a
onMonthScroll(Date),0,n/a,n/a,n/a
"onServiceConnected(ComponentName, IBinder)",0,1,1,1
onServiceDisconnected(ComponentName),0,1,1,1
onSuccess(User),0,n/a,n/a,n/a
run(),5,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
com.example.feelgoodinc.CalendarServiceTests,1.00,1,3
com.example.feelgoodinc.ExampleInstrumentedTest,1.00,1,1
com.example.feelgoodinc.ExampleUnitTest,1.00,1,1
com.example.feelgoodinc.HomePage,2.75,7,11
com.example.feelgoodinc.LoginActivity,1.50,2,12
com.example.feelgoodinc.SignupActivity,1.50,2,12
com.example.feelgoodinc.TutorialActivity,1.00,1,1
com.example.feelgoodinc.activityRecyclerView.ActivityViewHolder,1.00,1,1
com.example.feelgoodinc.activityRecyclerView.ClickListener,1.00,1,1
com.example.feelgoodinc.adapters.ActivityGalleryAdapter,1.00,1,5
com.example.feelgoodinc.adapters.TutorialPagerAdapter,1.00,1,3
com.example.feelgoodinc.fragments.HomeFragment,1.17,2,7
com.example.feelgoodinc.fragments.MoodFragment,2.50,7,20
com.example.feelgoodinc.fragments.UserProfileFragment,1.67,3,15
com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment,1.75,4,7
com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment,1.67,3,5
com.example.feelgoodinc.fragments.calmingActivities.GroundingFragment,3.00,5,6
com.example.feelgoodinc.fragments.calmingActivities.SleepFragment,1.67,3,5
com.example.feelgoodinc.fragments.resourcesFragments.EducationResources,1.00,1,2
com.example.feelgoodinc.fragments.resourcesFragments.ResourcesFragment,1.00,1,3
com.example.feelgoodinc.fragments.resourcesFragments.SelfHelpStrat,1.00,1,2
com.example.feelgoodinc.fragments.resourcesFragments.SupportGroup,1.00,1,2
com.example.feelgoodinc.fragments.resourcesFragments.emergencyHotline,1.00,1,2
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment1,1.00,1,1
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment2,1.00,1,1
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment3,1.00,1,1
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment4,2.00,2,2
com.example.feelgoodinc.models.Activity,1.00,1,1
com.example.feelgoodinc.models.Journal,1.00,1,11
com.example.feelgoodinc.models.Mood,1.00,1,7
com.example.feelgoodinc.models.Mood.MoodType,n/a,n/a,0
com.example.feelgoodinc.models.User,1.00,1,6
com.example.feelgoodinc.services.CalendarService,2.23,14,29
com.example.feelgoodinc.services.JournalService,2.00,5,8
com.example.feelgoodinc.services.JournalService.LocalBinder,1.00,1,1
com.example.feelgoodinc.services.MoodService,2.00,5,8
com.example.feelgoodinc.services.MoodService.LocalBinder,1.00,1,1
com.example.feelgoodinc.services.UserService,1.89,3,17
com.example.feelgoodinc.services.UserService.LocalBinder,1.00,1,1

Package,v(G)avg,v(G)tot
com.example.feelgoodinc,1.68,37
com.example.feelgoodinc.activityRecyclerView,1.00,2
com.example.feelgoodinc.adapters,1.00,8
com.example.feelgoodinc.fragments,2.00,38
com.example.feelgoodinc.fragments.calmingActivities,2.10,21
com.example.feelgoodinc.fragments.resourcesFragments,1.00,11
com.example.feelgoodinc.fragments.tutorialFragments,1.25,5
com.example.feelgoodinc.models,1.00,25
com.example.feelgoodinc.services,2.06,68

Module,v(G)avg,v(G)tot
Feel_Good_Inc.app.androidTest,1.00,4
Feel_Good_Inc.app.main,1.63,210
Feel_Good_Inc.app.unitTest,1.00,1

Project,v(G)avg,v(G)tot
project,1.60,215

