Lines of code metrics,Tue, 21 Nov 2023 09:26:45 GMT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"com.example.feelgoodinc.models.Mood.Mood(MoodType, Date)",0,0,4,4,9.76%
"com.example.feelgoodinc.models.Mood.fromMap(Map<String, Object>)",0,0,3,3,7.32%
com.example.feelgoodinc.models.Mood.getMoodType(),0,0,3,3,7.32%
com.example.feelgoodinc.models.Mood.getMoodWhen(),0,0,3,3,7.32%
com.example.feelgoodinc.models.Mood.setMoodType(MoodType),0,0,3,3,7.32%
com.example.feelgoodinc.models.Mood.setMoodWhen(Date),0,0,3,3,7.32%
com.example.feelgoodinc.models.Mood.toMap(),0,0,6,6,14.63%
com.example.feelgoodinc.models.User.getCurrentUserKey(),3,4,7,3,22.58%
com.example.feelgoodinc.models.User.getLastLoginWhen(),0,0,3,3,9.68%
com.example.feelgoodinc.models.User.getUsername(),0,0,3,3,9.68%
com.example.feelgoodinc.models.User.setCurrentUserKey(String),0,0,3,3,9.68%
com.example.feelgoodinc.models.User.setLastLoginWhen(Date),0,0,3,3,9.68%
com.example.feelgoodinc.models.User.setUsername(String),0,0,3,3,9.68%
com.example.feelgoodinc.services.JournalService.LocalBinder.getService(),3,4,7,3,58.33%
"com.example.feelgoodinc.services.JournalService.addNewJournal(Journal, Activity)",4,5,13,7,10.66%
com.example.feelgoodinc.services.JournalService.getJournalsForMonth(Date),6,5,29,22,23.77%
com.example.feelgoodinc.services.JournalService.onBind(Intent),0,0,4,4,3.28%
com.example.feelgoodinc.services.JournalService.onCreate(),1,0,8,7,6.56%
com.example.feelgoodinc.services.MoodService.LocalBinder.getService(),0,0,3,3,37.50%
com.example.feelgoodinc.services.MoodService.MoodService(),0,0,4,4,3.45%
"com.example.feelgoodinc.services.MoodService.addNewMood(Mood, Activity)",4,5,13,7,11.21%
com.example.feelgoodinc.services.MoodService.getMoodsForMonth(Date),8,5,30,22,25.86%
com.example.feelgoodinc.services.MoodService.onBind(Intent),0,0,4,4,3.45%
com.example.feelgoodinc.services.UserService.LocalBinder.getService(),0,0,3,3,37.50%
com.example.feelgoodinc.services.UserService.UserCallback.onError(Exception),0,n/a,n/a,1,14.29%
com.example.feelgoodinc.services.UserService.UserCallback.onSuccess(User),0,n/a,n/a,1,14.29%
"com.example.feelgoodinc.services.UserService.assignNewPassword(String, String, UserCallback)",5,7,23,15,12.64%
"com.example.feelgoodinc.services.UserService.changePassword(String, FirebaseUser, UserCallback)",4,7,18,11,9.89%
com.example.feelgoodinc.services.UserService.getCurrentUser(),3,4,11,7,6.04%
com.example.feelgoodinc.services.UserService.getCurrentUserKey(),5,5,12,7,6.59%
"com.example.feelgoodinc.services.UserService.loginUser(String, String, UserCallback)",6,7,23,14,12.64%
com.example.feelgoodinc.services.UserService.mapUser(FirebaseUser),3,5,13,8,7.14%
com.example.feelgoodinc.services.UserService.onBind(Intent),3,9,13,4,7.14%
com.example.feelgoodinc.services.UserService.onCreate(),3,3,8,5,4.40%
"com.example.feelgoodinc.services.UserService.registerUser(String, String, UserCallback)",4,7,17,10,9.34%
com.example.feelgoodinc.services.UserServiceTest.getCurrentUser(),4,0,14,10,11.86%
com.example.feelgoodinc.services.UserServiceTest.getCurrentUserKey(),4,0,13,9,11.02%
com.example.feelgoodinc.services.UserServiceTest.loginUserFailed(),0,0,3,3,2.54%
com.example.feelgoodinc.services.UserServiceTest.loginUserSuccessful(),23,0,26,3,22.03%
com.example.feelgoodinc.services.UserServiceTest.onBind(),4,0,12,8,10.17%
com.example.feelgoodinc.services.UserServiceTest.registerUserFailed(),0,0,3,3,2.54%
com.example.feelgoodinc.services.UserServiceTest.registerUserSuccessful(),10,0,23,13,19.49%
com.example.feelgoodinc.services.UserServiceTest.setup(),4,0,15,11,12.71%
"onServiceConnected(ComponentName, IBinder)",0,0,6,6,50.00%
onServiceDisconnected(ComponentName),0,0,4,4,33.33%

Class,CLOC,JLOC,LOC
com.example.feelgoodinc.CalendarUtility,38,28,64
com.example.feelgoodinc.ExampleInstrumentedTest,6,5,14
com.example.feelgoodinc.ExampleUnitTest,5,5,11
com.example.feelgoodinc.HomePage,0,0,65
com.example.feelgoodinc.LoginActivity,32,26,110
com.example.feelgoodinc.LoginActivityTest,7,0,77
com.example.feelgoodinc.SignupActivity,30,26,107
com.example.feelgoodinc.SignupActivityTest,14,0,62
com.example.feelgoodinc.TutorialActivity,3,0,22
com.example.feelgoodinc.activityRecyclerView.ActivityViewHolder,0,0,15
com.example.feelgoodinc.activityRecyclerView.ClickListener,4,4,8
com.example.feelgoodinc.adapters.ActivityGalleryAdapter,3,3,40
com.example.feelgoodinc.adapters.TutorialPagerAdapter,23,23,39
com.example.feelgoodinc.fragments.HomeFragment,2,0,33
com.example.feelgoodinc.fragments.MoodFragment,19,11,132
com.example.feelgoodinc.fragments.PlaceHolderResources,19,13,49
com.example.feelgoodinc.fragments.ResourcesFragment,19,13,74
com.example.feelgoodinc.fragments.UserProfileFragment,40,31,124
com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment,1,0,55
com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment,3,0,52
com.example.feelgoodinc.fragments.calmingActivities.GroundingFragment,1,0,46
com.example.feelgoodinc.fragments.calmingActivities.SleepFragment,0,0,27
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment1,1,0,8
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment2,1,0,8
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment3,1,0,8
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment4,2,0,19
com.example.feelgoodinc.models.Activity,7,7,19
com.example.feelgoodinc.models.Journal,13,12,60
com.example.feelgoodinc.models.Mood,4,4,33
com.example.feelgoodinc.models.Mood.MoodType,1,0,8
com.example.feelgoodinc.models.User,8,7,31
com.example.feelgoodinc.services.JournalService,65,59,110
com.example.feelgoodinc.services.JournalService.LocalBinder,7,7,12
com.example.feelgoodinc.services.MoodService,67,59,108
com.example.feelgoodinc.services.MoodService.LocalBinder,3,3,8
com.example.feelgoodinc.services.UserService,82,79,167
com.example.feelgoodinc.services.UserService.LocalBinder,3,3,8
com.example.feelgoodinc.services.UserServiceTest,49,0,118

Interface,CLOC,JLOC,LOC,NCLOC
com.example.feelgoodinc.services.UserService.UserCallback,3,3,7,4

Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt,NCLOCt(rec)
,n/a,196,n/a,431,n/a,"4,161",n/a,"3,804",n/a,357,n/a,n/a,"3,706",n/a,286
com,n/a,155,n/a,431,n/a,"2,363",n/a,"2,006",n/a,357,n/a,n/a,"1,926",n/a,286
