Lines of code metrics,,,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
menu,0,0,n/a,n/a,23,23,23,23,0,0,23,23,23,0,n/a
mipmap-anydpi-v26,0,0,n/a,n/a,10,10,10,10,0,0,10,10,10,0,n/a
values,0,4,n/a,n/a,89,89,89,89,0,0,89,89,89,0,n/a
values-night,0,3,n/a,n/a,7,7,7,7,0,0,7,7,7,0,n/a
xml,0,26,n/a,n/a,32,32,32,32,0,0,14,14,14,0,n/a
,,,,,,,,,,,,,,,
Module,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt,,,
Feel_Good_Inc,n/a,4,"2,231",0,21,"10,014","12,990",0,0,"12,776",0,0,,,
Feel_Good_Inc.app,n/a,0,0,0,43,0,91,0,0,71,0,0,,,
Feel_Good_Inc.app.androidTest,5,0,0,21,0,0,21,0,21,15,0,15,,,
Feel_Good_Inc.app.main,142,0,0,870,0,"1,319","2,189","2,159",0,"1,978","1,948",0,,,
Feel_Good_Inc.app.unitTest,5,0,0,14,0,0,14,0,14,9,0,9,,,
,,,,,,,,,,,,,,,
FileType,LOC,NCLOC,,,,,,,,,,,,,
.gitignore (GitIgnore),17,17,,,,,,,,,,,,,
C/C++,162,162,,,,,,,,,,,,,
CSS,27,27,,,,,,,,,,,,,
Files supported via TextMate bundles,68,68,,,,,,,,,,,,,
Groovy,4,4,,,,,,,,,,,,,
HTML,"2,231","2,231",,,,,,,,,,,,,
JSON,29,29,,,,,,,,,,,,,
Java,905,701,,,,,,,,,,,,,
Kotlin,64,61,,,,,,,,,,,,,
Manifest,118,118,,,,,,,,,,,,,
Markdown,124,124,,,,,,,,,,,,,
Properties,36,10,,,,,,,,,,,,,
Scalable Vector Graphics,95,95,,,,,,,,,,,,,
Shrinker Config,18,0,,,,,,,,,,,,,
Text,30,n/a,,,,,,,,,,,,,
XML,"11,333","11,158",,,,,,,,,,,,,
YAML,44,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Project,CLOC,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt,,
project,672,152,4,"2,231",905,64,"11,333","15,305","2,159",35,"14,849","1,948",24,,
